rental_serial_number,fk_rental_id,fk_rental_equipment_uid,equipment_type,equipment_type_serial_number,activation_date,manufacturer,model,size,pricing_status,deactivation_date,deactivation_initials,at_offsite,notes,ski_binding_type,wide,ski_boot_type,snowboard_boot_type,snowboard_binding_color
SK0247,543,286,SK,247,2022-12-12,Elan,Enforcer Jr,142,Standard,,,FALSE,,Junior,,,,
SK0248,573,281,SK,248,2022-12-12,Stockli,V-Shape V8,149,Standard,,,FALSE,,Senior,,,,
SK0249,183,268,SK,249,2022-12-12,Armada,Laser AX,158,Upgrade,,,FALSE,,Junior,,,,
SK0250,433,116,SK,250,2022-12-12,Fischer,Kendo,160,Standard,,,FALSE,,Junior,,,,
SK0251,669,157,SK,251,2022-12-12,Head,ARV 116 JJ,156,Standard,,,FALSE,,Junior,,,,
SK0252,197,14,SK,252,2022-12-12,Line Skis,Challenger Jr,149,Standard,,,FALSE,,Junior,,,,
SK0253,,,SK,253,2022-12-12,Atomic,Gypsy Jr,124,Standard,,,FALSE,,Senior,,,,
SK0254,392,9,SK,254,2022-12-12,Volkl,Mindbender 99 Ti,124,Standard,,,FALSE,,Junior,,,,
SK0255,,,SK,255,2022-12-12,Black Diamond,QST Lumen Jr,143,Upgrade,,,FALSE,,Junior,,,,
SK0256,596,34,SK,256,2022-12-12,Rossignol,Mindbender 90 TI,120,Standard,,,FALSE,,Junior,,,,
SK0257,,,SK,257,2022-12-12,Salomon,Invictus Jr,162,Standard,,,FALSE,,Senior,,,,
SK0258,275,296,SK,258,2022-12-12,Dynastar,Experience 88 Ti,178,Upgrade,,,FALSE,,Senior,,,,
SK0259,500,135,SK,259,2022-12-12,Nordica,Brahma 88,140,Standard,,,FALSE,,Senior,,,,
SK0260,,,SK,260,2022-12-12,Blizzard,Enforcer Free Jr,140,Standard,,,FALSE,,Junior,,,,
SK0261,76,145,SK,261,2022-12-12,K2,Enforcer 110,124,Standard,,,FALSE,,Senior,,,,
SK0262,67,166,SK,262,2022-12-12,Elan,Enforcer Free Jr,110,Standard,,,FALSE,,Junior,,,,
SK0263,533,86,SK,263,2022-12-12,Stockli,Devastator Jr,170,Standard,,,FALSE,,Senior,,,,
SK0264,464,221,SK,264,2022-12-12,Armada,Alltrack Jr,163,Standard,,,FALSE,,Junior,,,,
SK0265,,,SK,265,2022-12-12,Fischer,Brahma Jr,88,Standard,,,FALSE,,Senior,,,,
SK0266,559,231,SK,266,2022-12-12,Head,Bent Chetler 100,112,Standard,,,FALSE,,Senior,,,,
SK0267,523,90,SK,267,2022-12-12,Line Skis,Experience 88 Ti,124,Standard,,,FALSE,,Junior,,,,
SK0268,1,210,SK,268,2022-12-12,Atomic,FX Jr,120,Standard,,,FALSE,,Junior,,,,
SK0269,764,217,SK,269,2022-12-12,Volkl,Genesis Jr,156,Standard,,,FALSE,,Junior,,,,
SK0270,,,SK,270,2022-12-12,Black Diamond,Enforcer 88,146,Standard,,,FALSE,,Senior,,,,
SK0271,481,209,SK,271,2022-12-12,Rossignol,QST Lumen 99,124,Standard,,,FALSE,,Junior,,,,
SK0272,,,SK,272,2022-12-12,Salomon,Blackops Pro Jr,110,Standard,,,FALSE,,Junior,,,,
SK0273,102,89,SK,273,2022-12-12,Dynastar,Bent Chetler 100,154,Standard,,,FALSE,,Junior,,,,
SK0274,128,17,SK,274,2022-12-12,Nordica,Challenger Jr,136,Standard,,,FALSE,,Senior,,,,
SK0275,487,7,SK,275,2022-12-12,Blizzard,Speed Zone Jr,136,Standard,,,FALSE,,Junior,,,,
SK0276,187,95,SK,276,2022-12-12,K2,Santa Ana 98,112,Standard,,,FALSE,,Senior,,,,
SK0277,,,SK,277,2022-12-12,Elan,Experience 94 Ti W,112,Standard,,,FALSE,,Senior,,,,
SK0278,,,SK,278,2022-12-12,Stockli,Rustler 9,100,Upgrade,,,FALSE,,Junior,,,,
SK0279,,,SK,279,2022-12-12,Armada,Santa Ana 98,88,Upgrade,,,FALSE,,Junior,,,,
SK0280,656,55,SK,280,2022-12-12,Fischer,Prince Jr,88,Standard,,,FALSE,,Junior,,,,
SK0281,,,SK,281,2022-12-12,Head,V-Shape V6 Jr,112,Standard,,,FALSE,,Junior,,,,
SK0282,,,SK,282,2022-12-12,Line Skis,M-Pro 99,100,Standard,,,FALSE,,Junior,,,,
SK0283,501,221,SK,283,2022-12-12,Atomic,QST Lumen Jr,76,Standard,,,FALSE,,Senior,,,,
SK0284,,,SK,284,2022-12-12,Volkl,Legend X96,156,Standard,,,FALSE,,Junior,,,,
SK0285,475,180,SK,285,2022-12-12,Black Diamond,Soul 7 HD,136,Standard,,,FALSE,,Senior,,,,
SK0286,566,215,SK,286,2022-12-12,Blizzard,Shiro,140,Standard,,,FALSE,,Senior,,,,
SK0287,,,SK,287,2022-12-12,Nordica,Backland 100,152,Standard,,,FALSE,,Senior,,,,
SK0288,,,SK,288,2022-12-12,Atomic,Icon Q 85,156,Standard,,,FALSE,,Senior,,,,
SK0289,,,SK,289,2022-12-12,Rossignol,Hero Jr,177,Upgrade,,,FALSE,,Junior,,,,
SK0290,112,299,SK,290,2022-12-12,Fischer,Wild Joy,140,Standard,,,FALSE,,Junior,,,,
SK0291,,,SK,291,2022-12-12,Head,Bent Chetler 100,140,Upgrade,,,FALSE,,Senior,,,,
SK0292,,,SK,292,2022-12-12,Salomon,S/Pro Jr,130,Upgrade,,,FALSE,,Junior,,,,
SK0293,,,SK,293,2022-12-12,Dynastar,Bandit Jr,130,Upgrade,,,FALSE,,Junior,,,,
SK0294,169,51,SK,294,2022-12-12,Black Diamond,Bandit Jr,162,Standard,,,FALSE,,Junior,,,,
SK0295,,,SK,295,2022-12-12,Line Skis,Prince Jr,112,Upgrade,,,FALSE,,Senior,,,,
SK0296,,,SK,296,2022-12-12,K2,Firebird WRC Jr,156,Standard,,,FALSE,,Junior,,,,
SK0297,,,SK,297,2022-12-12,Elan,Backland 107,140,Standard,,,FALSE,,Junior,,,,
SK0298,19,29,SK,298,2022-12-12,Stockli,Backland 100,136,Upgrade,,,FALSE,,Senior,,,,
SK0299,9,235,SK,299,2022-12-12,Armada,QST Lumen 99,136,Standard,,,FALSE,,Junior,,,,
SK0300,251,265,SK,300,2022-12-12,Fischer,Icon Q 85,112,Upgrade,,,FALSE,,Junior,,,,
SK0301,286,135,SK,301,2022-12-12,Line Skis,Bent Chetler 100,124,Upgrade,,,FALSE,,Junior,,,,
SK0302,,,SK,302,2022-12-12,Atomic,Hero Jr,112,Standard,,,FALSE,,Junior,,,,
SK0303,169,283,SK,303,2022-12-12,Volkl,S Max Blast Jr,156,Upgrade,,,FALSE,,Junior,,,,
SK0304,249,86,SK,304,2022-12-12,Black Diamond,Shiro,150,Standard,,,FALSE,,Junior,,,,
SK0305,529,41,SK,305,2022-12-12,Head,Crush Jr,100,Standard,,,FALSE,,Senior,,,,
SK0306,,,SK,306,2022-12-12,Salomon,Icon Q 85,140,Upgrade,,,FALSE,,Senior,,,,
SK0307,152,65,SK,307,2022-12-12,Dynastar,Soul 7 HD,146,Standard,,,FALSE,,Junior,,,,
SK0308,255,33,SK,308,2022-12-12,Rossignol,Speedmachine Jr,170,Standard,,,FALSE,,Junior,,,,
SK0309,,,SK,309,2022-12-12,Nordica,Sir Francis Bacon,156,Standard,,,FALSE,,Senior,,,,
SK0310,307,68,SK,310,2022-12-12,Blizzard,Park Jr,167,Standard,,,FALSE,,Senior,,,,
SK0311,646,155,SK,311,2022-12-12,K2,FX Jr,140,Standard,,,FALSE,,Senior,,,,
SK0312,399,73,SK,312,2022-12-12,Elan,Helio 116,170,Standard,,,FALSE,,Senior,,,,
SK0313,35,150,SK,313,2022-12-12,Stockli,Hot Rod Jr,163,Standard,,,FALSE,,Junior,,,,
SK0314,607,59,SK,314,2022-12-12,Armada,Explore Jr,146,Upgrade,,,FALSE,,Senior,,,,
SK0315,,,SK,315,2022-12-12,Fischer,Nemesis Jr,149,Standard,,,FALSE,,Senior,,,,
SK0316,,,SK,316,2022-12-12,Head,Legend X96,116,Upgrade,,,FALSE,,Junior,,,,
SK0317,,,SK,317,2022-12-12,Line Skis,Enforcer 110,149,Standard,,,FALSE,,Junior,,,,
SK0318,504,274,SK,318,2022-12-12,Atomic,ARV 116 JJ,130,Standard,,,FALSE,,Junior,,,,
SK0319,741,134,SK,319,2022-12-12,Volkl,Mindbender 90 TI,186,Upgrade,,,FALSE,,Junior,,,,
SK0320,52,78,SK,320,2022-12-12,Black Diamond,Armada Jr,186,Standard,,,FALSE,,Senior,,,,
SK0321,5,14,SK,321,2022-12-12,Rossignol,Laser AX,154,Upgrade,,,FALSE,,Senior,,,,
SK0322,,,SK,322,2022-12-12,Salomon,S/Max Jr,154,Standard,,,FALSE,,Junior,,,,
SK0323,,,SK,323,2022-12-12,Dynastar,Genesis Jr,149,Upgrade,,,FALSE,,Senior,,,,
SK0324,,,SK,324,2022-12-12,Nordica,Soul 7 HD Jr,140,Upgrade,,,FALSE,,Junior,,,,
SK0325,367,207,SK,325,2022-12-12,Blizzard,Kore 99,142,Standard,,,FALSE,,Senior,,,,
SK0326,47,274,SK,326,2022-12-12,K2,Route 105,140,Standard,,,FALSE,,Senior,,,,
SK0327,667,280,SK,327,2022-12-12,Elan,Rustler 9,142,Upgrade,,,FALSE,,Senior,,,,
SK0328,7,101,SK,328,2022-12-12,Stockli,Mindbender 90 TI,152,Standard,,,FALSE,,Senior,,,,
SK0329,,,SK,329,2022-12-12,Armada,Enforcer 88,161,Standard,,,FALSE,,Junior,,,,
SK0330,,,SK,330,2022-12-12,Fischer,Comp J,136,Upgrade,,,FALSE,,Senior,,,,
SK0331,690,225,SK,331,2022-12-12,Head,QST 106,136,Standard,,,FALSE,,Senior,,,,
SK0332,151,151,SK,332,2022-12-12,Line Skis,Santa Ana 98,152,Standard,,,FALSE,,Junior,,,,
SK0333,,,SK,333,2022-12-12,Atomic,Crush Jr,160,Standard,,,FALSE,,Senior,,,,
SK0334,,,SK,334,2022-12-12,Volkl,Enforcer Jr,153,Standard,,,FALSE,,Junior,,,,
SK0335,,,SK,335,2022-12-12,Black Diamond,QST Lumen Jr,140,Standard,,,FALSE,,Senior,,,,
SK0336,,,SK,336,2022-12-12,Rossignol,Mindbender 90 TI,162,Standard,,,FALSE,,Junior,,,,
SK0337,,,SK,337,2022-12-12,Salomon,Genesis Jr,140,Standard,,,FALSE,,Senior,,,,
SK0338,260,228,SK,338,2022-12-12,Dynastar,Bent Chetler 100,112,Upgrade,,,FALSE,,Junior,,,,
SK0339,746,293,SK,339,2022-12-12,Nordica,QST Lumen Jr,155,Standard,,,FALSE,,Senior,,,,
SK0340,,,SK,340,2022-12-12,Blizzard,Ranger One FR,146,Upgrade,,,FALSE,,Senior,,,,
SK0341,413,273,SK,341,2022-12-12,K2,Kenja Jr,150,Standard,,,FALSE,,Junior,,,,
SK0342,,,SK,342,2022-12-12,Elan,Nemesis Jr,142,Standard,,,FALSE,,Junior,,,,
SK0343,,,SK,343,2022-12-12,Stockli,Junior Supershape,124,Upgrade,,,FALSE,,Senior,,,,
SK0344,777,266,SK,344,2022-12-12,Armada,Ranger 94 FR,156,Standard,,,FALSE,,Junior,,,,
SK0345,171,106,SK,345,2022-12-12,Fischer,Soul 7 HD,150,Standard,,,FALSE,,Junior,,,,
SK0346,370,72,SK,346,2022-12-12,Head,Blade,170,Standard,,,FALSE,,Senior,,,,
SK0347,,,SK,347,2022-12-12,Line Skis,FX Jr,140,Standard,,,FALSE,,Senior,,,,
SK0348,,,SK,348,2022-12-12,Atomic,Experience 94 Ti W,124,Standard,,,FALSE,,Junior,,,,
SK0349,114,51,SK,349,2022-12-12,Volkl,Santa Ana 98,150,Standard,,,FALSE,,Senior,,,,
SK0350,,,SK,350,2022-12-12,Black Diamond,Mindbender Jr,150,Standard,,,FALSE,,Junior,,,,
SK0351,,,SK,351,2022-12-12,Rossignol,Ranger 102 FR,140,Upgrade,,,FALSE,,Junior,,,,
SK0352,268,37,SK,352,2022-12-12,Salomon,Blackops Sender Ti,150,Upgrade,,,FALSE,,Junior,,,,
SK0353,,,SK,353,2022-12-12,Dynastar,Enforcer Jr,124,Standard,,,FALSE,,Junior,,,,
SK0354,200,40,SK,354,2022-12-12,Nordica,Devastator Jr,124,Standard,,,FALSE,,Junior,,,,
SK0355,,,SK,355,2022-12-12,Blizzard,Junior Supershape,177,Upgrade,,,FALSE,,Junior,,,,
SK0356,172,279,SK,356,2022-12-12,K2,Ripstick 106,156,Standard,,,FALSE,,Junior,,,,
SK0357,478,156,SK,357,2022-12-12,Elan,Rustler 9,150,Standard,,,FALSE,,Junior,,,,
SK0358,117,206,SK,358,2022-12-12,Stockli,Ranger 94 FR,146,Standard,,,FALSE,,Senior,,,,
SK0359,,,SK,359,2022-12-12,Armada,Comp J,100,Upgrade,,,FALSE,,Junior,,,,
SK0360,515,233,SK,360,2022-12-12,Fischer,Enforcer 88,150,Standard,,,FALSE,,Senior,,,,
SK0361,,,SK,361,2022-12-12,Head,Stormrider 95,168,Standard,,,FALSE,,Senior,,,,
SK0362,,,SK,362,2022-12-12,Line Skis,Invictus Jr,162,Standard,,,FALSE,,Senior,,,,
SK0363,,,SK,363,2022-12-12,Atomic,Kore 93,156,Standard,,,FALSE,,Senior,,,,
SK0364,603,203,SK,364,2022-12-12,Volkl,Blackops Sender Ti,142,Standard,,,FALSE,,Junior,,,,
SK0365,465,17,SK,365,2022-12-12,Black Diamond,Crush Jr,162,Standard,,,FALSE,,Senior,,,,
SK0366,312,198,SK,366,2022-12-12,Rossignol,Core Jr,140,Upgrade,,,FALSE,,Junior,,,,
SK0367,157,163,SK,367,2022-12-12,Salomon,Rustler 9,177,Standard,,,FALSE,,Junior,,,,
SK0368,337,55,SK,368,2022-12-12,Dynastar,Ripstick 106,150,Standard,,,FALSE,,Junior,,,,
SK0369,,,SK,369,2022-12-12,Nordica,Crush Jr,162,Upgrade,,,FALSE,,Senior,,,,
SK0370,,,SK,370,2022-12-12,Blizzard,NRGY Jr,162,Standard,,,FALSE,,Senior,,,,
SK0371,698,68,SK,371,2022-12-12,K2,FX Jr,168,Standard,,,FALSE,,Junior,,,,
SK0372,,,SK,372,2022-12-12,Elan,Navigator Jr,100,Standard,,,FALSE,,Junior,,,,
SK0373,52,217,SK,373,2022-12-12,Stockli,Ranger 94 FR,136,Standard,,,FALSE,,Senior,,,,
SK0374,,,SK,374,2022-12-12,Armada,Kore 93,136,Standard,,,FALSE,,Junior,,,,
SK0375,229,258,SK,375,2022-12-12,Fischer,Kenja Jr,150,Standard,,,FALSE,,Junior,,,,
SK0376,,,SK,376,2022-12-12,Head,Helio 116,112,Standard,,,FALSE,,Senior,,,,
SK0377,770,29,SK,377,2022-12-12,Line Skis,Zipline Jr,174,Upgrade,,,FALSE,,Junior,,,,
SK0378,,,SK,378,2022-12-12,Atomic,S/Pro Jr,170,Standard,,,FALSE,,Senior,,,,
SK0379,443,63,SK,379,2022-12-12,Volkl,Firebird WRC Jr,140,Standard,,,FALSE,,Junior,,,,
SK0380,,,SK,380,2022-12-12,Black Diamond,Brahma 88,150,Standard,,,FALSE,,Junior,,,,
SK0381,83,29,SK,381,2022-12-12,Blizzard,Haven Jr,160,Upgrade,,,FALSE,,Senior,,,,
SK0382,,,SK,382,2022-12-12,Nordica,Hot Rod Jr,162,Upgrade,,,FALSE,,Junior,,,,
SK0383,,,SK,383,2022-12-12,Atomic,Deacon Jr,130,Standard,,,FALSE,,Senior,,,,
SK0384,,,SK,384,2022-12-12,Rossignol,Invictus Jr,140,Standard,,,FALSE,,Junior,,,,
SK0385,352,214,SK,385,2022-12-12,Fischer,Backland 107,130,Standard,,,FALSE,,Junior,,,,
SK0386,,,SK,386,2022-12-12,Head,Experience 88 Ti,168,Standard,,,FALSE,,Junior,,,,
SK0387,139,137,SK,387,2022-12-12,Salomon,Shiro,177,Upgrade,,,FALSE,,Junior,,,,
SK0388,164,61,SK,388,2022-12-12,Dynastar,Firebird Jr,160,Upgrade,,,FALSE,,Junior,,,,
SK0389,,,SK,389,2022-12-12,Black Diamond,Yumi Jr,162,Upgrade,,,FALSE,,Junior,,,,
SK0390,,,SK,390,2022-12-12,Line Skis,Mindbender 108 Ti,150,Upgrade,,,FALSE,,Senior,,,,
SK0391,,,SK,391,2022-12-12,K2,QST Lumen Jr,150,Standard,,,FALSE,,Junior,,,,
SK0392,251,298,SK,392,2022-12-12,Elan,Enforcer 94,156,Standard,,,FALSE,,Junior,,,,
SK0393,,,SK,393,2022-12-12,Stockli,Speed Zone Jr,130,Standard,,,FALSE,,Junior,,,,
SK0394,,,SK,394,2022-12-12,Armada,Mindbender Jr,150,Upgrade,,,FALSE,,Senior,,,,
SK0395,,,SK,395,2022-12-12,Fischer,Route 105,140,Standard,,,FALSE,,Junior,,,,
SK0396,336,204,SK,396,2022-12-12,Line Skis,Legend X96,150,Standard,,,FALSE,,Junior,,,,
SK0397,403,3,SK,397,2022-12-12,Atomic,NRGY Jr,100,Standard,,,FALSE,,Junior,,,,
SK0398,231,163,SK,398,2022-12-12,Volkl,V-Shape V6 Jr,116,Upgrade,,,FALSE,,Senior,,,,
SK0399,139,61,SK,399,2022-12-12,Black Diamond,Wingman 86 CTI,136,Standard,,,FALSE,,Junior,,,,
SK0400,786,28,SK,400,2022-12-12,Head,Alltrack Jr,116,Standard,,,FALSE,,Junior,,,,
SK0401,,,SK,401,2022-12-12,Salomon,V-Shape V6 Jr,136,Upgrade,,,FALSE,,Junior,,,,
SK0402,,,SK,402,2022-12-12,Dynastar,Ranger One FR,124,Standard,,,FALSE,,Junior,,,,
SK0403,,,SK,403,2022-12-12,Rossignol,Kenja Jr,76,Upgrade,,,FALSE,,Senior,,,,
SK0404,,,SK,404,2022-12-12,Nordica,React R8 Jr,130,Standard,,,FALSE,,Senior,,,,
SK0405,580,157,SK,405,2022-12-12,Blizzard,Haven Jr,170,Upgrade,,,FALSE,,Junior,,,,
SK0406,478,256,SK,406,2022-12-12,K2,Kore 99,140,Standard,,,FALSE,,Junior,,,,
SK0407,161,216,SK,407,2022-12-12,Elan,Nemesis Jr,150,Standard,,,FALSE,,Senior,,,,
SK0408,,,SK,408,2022-12-12,Stockli,Haven Jr,150,Upgrade,,,FALSE,,Senior,,,,
SK0409,599,76,SK,409,2022-12-12,Armada,Blackops Sender Ti,156,Standard,,,FALSE,,Senior,,,,
SK0410,527,235,SK,410,2022-12-12,Fischer,Ripstick 106,160,Standard,,,FALSE,,Junior,,,,
SK0411,,,SK,411,2022-12-12,Head,Explore Jr,130,Upgrade,,,FALSE,,Senior,,,,
SK0412,,,SK,412,2022-12-12,Line Skis,Speed Zone Jr,153,Standard,,,FALSE,,Junior,,,,
SK0413,501,89,SK,413,2022-12-12,Atomic,S/Pro Jr,150,Upgrade,,,FALSE,,Junior,,,,
SK0414,,,SK,414,2022-12-12,Volkl,Challenger Jr,136,Standard,,,FALSE,,Junior,,,,
SK0415,673,60,SK,415,2022-12-12,Black Diamond,Icon Q 85,130,Standard,,,FALSE,,Senior,,,,
SK0416,,,SK,416,2022-12-12,Rossignol,Stormrider 95,140,Standard,,,FALSE,,Junior,,,,
SK0417,722,112,SK,417,2022-12-12,Salomon,Mindbender Jr,88,Upgrade,,,FALSE,,Senior,,,,
SK0418,,,SK,418,2022-12-12,Dynastar,Mindbender 106 C,88,Standard,,,FALSE,,Junior,,,,
SK0419,,,SK,419,2022-12-12,Nordica,Soul 7 HD Jr,112,Standard,,,FALSE,,Junior,,,,
SK0420,,,SK,420,2022-12-12,Blizzard,Super Joy Jr,140,Upgrade,,,FALSE,,Junior,,,,
SK0421,,,SK,421,2022-12-12,K2,Invictus Jr,88,Standard,,,FALSE,,Junior,,,,
SK0422,,,SK,422,2022-12-12,Elan,NRGY Jr,130,Upgrade,,,FALSE,,Senior,,,,
SK0423,,,SK,423,2022-12-12,Stockli,Kenja 88,140,Standard,,,FALSE,,Junior,,,,
SK0424,515,183,SK,424,2022-12-12,Armada,M-Pro 99,152,Standard,,,FALSE,,Junior,,,,
SK0425,341,13,SK,425,2022-12-12,Fischer,Core Jr,136,Standard,,,FALSE,,Junior,,,,
SK0426,,,SK,426,2022-12-12,Head,Blackops Sender Ti,100,Standard,,,FALSE,,Senior,,,,
SK0427,577,235,SK,427,2022-12-12,Line Skis,QST 106,161,Standard,,,FALSE,,Senior,,,,
SK0428,461,54,SK,428,2022-12-12,Atomic,Mindbender 106 C,170,Upgrade,,,FALSE,,Senior,,,,
SK0429,,,SK,429,2022-12-12,Volkl,FX Jr,174,Standard,,,FALSE,,Senior,,,,
SK0430,250,55,SK,430,2022-12-12,Black Diamond,Navigator Jr,124,Standard,,,FALSE,,Junior,,,,
SK0431,,,SK,431,2022-12-12,Rossignol,Enforcer 88,186,Standard,,,FALSE,,Junior,,,,
SK0432,,,SK,432,2022-12-12,Salomon,Stormrider 95,186,Standard,,,FALSE,,Senior,,,,
SK0433,,,SK,433,2022-12-12,Dynastar,Invictus Jr,178,Standard,,,FALSE,,Junior,,,,
SK0434,,,SK,434,2022-12-12,Nordica,Stance Jr,140,Standard,,,FALSE,,Junior,,,,
SK0435,604,23,SK,435,2022-12-12,Blizzard,Wingman 86 CTI,174,Standard,,,FALSE,,Senior,,,,
SK0436,,,SK,436,2022-12-12,K2,Maverick 85,161,Standard,,,FALSE,,Junior,,,,
SK0437,666,279,SK,437,2022-12-12,Elan,Mindbender Jr,140,Standard,,,FALSE,,Senior,,,,
SK0438,463,278,SK,438,2022-12-12,Stockli,Mantra M5,112,Standard,,,FALSE,,Senior,,,,
SK0439,263,286,SK,439,2022-12-12,Armada,Konic Jr,152,Standard,,,FALSE,,Senior,,,,
SK0440,,,SK,440,2022-12-12,Fischer,Enforcer Jr,165,Standard,,,FALSE,,Junior,,,,
SK0441,,,SK,441,2022-12-12,Head,Experience 94 Ti W,136,Upgrade,,,FALSE,,Junior,,,,
SK0442,247,8,SK,442,2022-12-12,Line Skis,Junior Supershape,112,Standard,,,FALSE,,Junior,,,,
SK0443,781,12,SK,443,2022-12-12,Atomic,Mantra Jr,140,Standard,,,FALSE,,Junior,,,,
SK0444,344,185,SK,444,2022-12-12,Volkl,Navigator Jr,124,Standard,,,FALSE,,Junior,,,,
SK0445,787,2,SK,445,2022-12-12,Black Diamond,Maverick 85,110,Upgrade,,,FALSE,,Senior,,,,
SK0446,622,7,SK,446,2022-12-12,Rossignol,Enforcer 94,116,Standard,,,FALSE,,Junior,,,,
SK0447,,,SK,447,2022-12-12,Salomon,Stormrider 95,116,Standard,,,FALSE,,Junior,,,,
SK0448,,,SK,448,2022-12-12,Dynastar,Experience 88 Ti,162,Standard,,,FALSE,,Senior,,,,
SK0449,437,89,SK,449,2022-12-12,Nordica,Gypsy Jr,140,Standard,,,FALSE,,Junior,,,,
SK0450,352,55,SK,450,2022-12-12,Blizzard,Konic Jr,124,Standard,,,FALSE,,Junior,,,,
SK0451,,,SK,451,2022-12-12,K2,Haven Jr,162,Upgrade,,,FALSE,,Senior,,,,
SK0452,491,66,SK,452,2022-12-12,Elan,Kore 93,124,Upgrade,,,FALSE,,Junior,,,,
SK0453,,,SK,453,2022-12-12,Stockli,Park Jr,140,Standard,,,FALSE,,Junior,,,,
SK0454,627,231,SK,454,2022-12-12,Armada,Backland 100,170,Standard,,,FALSE,,Senior,,,,
SK0455,615,122,SK,455,2022-12-12,Fischer,Alltrack Jr,150,Standard,,,FALSE,,Junior,,,,
SK0456,,,SK,456,2022-12-12,Head,Park Jr,140,Upgrade,,,FALSE,,Junior,,,,
SK0457,226,267,SK,457,2022-12-12,Line Skis,S/Max Jr,156,Standard,,,FALSE,,Senior,,,,
SK0458,,,SK,458,2022-12-12,Atomic,Sir Francis Bacon,152,Standard,,,FALSE,,Junior,,,,
SK0459,,,SK,459,2022-12-12,Volkl,Navigator Jr,112,Standard,,,FALSE,,Junior,,,,
SK0460,,,SK,460,2022-12-12,Black Diamond,Yumi Jr,112,Standard,,,FALSE,,Junior,,,,
SK0461,685,65,SK,461,2022-12-12,Rossignol,Ripstick Jr,136,Standard,,,FALSE,,Junior,,,,
SK0462,,,SK,462,2022-12-12,Salomon,Prodigy Jr,120,Standard,,,FALSE,,Junior,,,,
SK0463,,,SK,463,2022-12-12,Dynastar,Enforcer 88,150,Upgrade,,,FALSE,,Senior,,,,
SK0464,,,SK,464,2022-12-12,Nordica,ARV 106,180,Standard,,,FALSE,,Junior,,,,
SK0465,,,SK,465,2022-12-12,Blizzard,Maverick 85,88,Standard,,,FALSE,,Junior,,,,
SK0466,,,SK,466,2022-12-12,K2,Alltrack Jr,152,Upgrade,,,FALSE,,Senior,,,,
SK0467,202,251,SK,467,2022-12-12,Elan,Zipline Jr,136,Standard,,,FALSE,,Senior,,,,
SK0468,,,SK,468,2022-12-12,Stockli,QST Lumen 99,120,Standard,,,FALSE,,Junior,,,,
SK0469,288,110,SK,469,2022-12-12,Armada,Challenger Jr,142,Upgrade,,,FALSE,,Junior,,,,
SK0470,,,SK,470,2022-12-12,Fischer,Shiro,162,Standard,,,FALSE,,Junior,,,,
SK0471,265,268,SK,471,2022-12-12,Head,Blackops Pro Jr,128,Standard,,,FALSE,,Senior,,,,
SK0472,481,291,SK,472,2022-12-12,Line Skis,Enforcer 94,130,Standard,,,FALSE,,Senior,,,,
SK0473,422,51,SK,473,2022-12-12,Atomic,Sir Francis Bacon,100,Standard,,,FALSE,,Junior,,,,
SK0474,,,SK,474,2022-12-12,Volkl,S Max Blast Jr,136,Standard,,,FALSE,,Senior,,,,
SK0475,349,86,SK,475,2022-12-12,Black Diamond,Park Jr,156,Upgrade,,,FALSE,,Senior,,,,
SK0476,,,SK,476,2022-12-12,Blizzard,Blade,150,Standard,,,FALSE,,Senior,,,,
SK0477,117,96,SK,477,2022-12-12,Nordica,Laser AX,163,Standard,,,FALSE,,Senior,,,,
SK0478,310,270,SK,478,2022-12-12,Atomic,Mindbender 106 C,148,Upgrade,,,FALSE,,Senior,,,,
SK0479,131,187,SK,479,2022-12-12,Rossignol,Invictus Jr,100,Standard,,,FALSE,,Senior,,,,
SK0480,526,9,SK,480,2022-12-12,Fischer,Nemesis Jr,140,Standard,,,FALSE,,Senior,,,,
SK0481,33,2,SK,481,2022-12-12,Head,Bent Chetler 100,176,Standard,,,FALSE,,Junior,,,,
SK0482,310,116,SK,482,2022-12-12,Salomon,Mindbender 106 C,160,Upgrade,,,FALSE,,Junior,,,,
SK0483,116,114,SK,483,2022-12-12,Dynastar,Hero Jr,160,Standard,,,FALSE,,Junior,,,,
SK0484,28,13,SK,484,2022-12-12,Black Diamond,Experience 94 Ti W,88,Standard,,,FALSE,,Junior,,,,
SK0485,,,SK,485,2022-12-12,Line Skis,Soul 7 HD Jr,146,Upgrade,,,FALSE,,Senior,,,,
SK0486,,,SK,486,2022-12-12,K2,Blackops Pro Jr,153,Upgrade,,,FALSE,,Junior,,,,
SK0487,782,280,SK,487,2022-12-12,Elan,S Max Blast Jr,88,Standard,,,FALSE,,Senior,,,,
SK0488,,,SK,488,2022-12-12,Stockli,Devastator Jr,140,Upgrade,,,FALSE,,Senior,,,,
SK0489,62,110,SK,489,2022-12-12,Armada,Speed Zone Jr,80,Upgrade,,,FALSE,,Senior,,,,
SK0490,719,3,SK,490,2022-12-12,Fischer,Backland 100,160,Standard,,,FALSE,,Senior,,,,
SK0491,398,4,SK,491,2022-12-12,Line Skis,Laser AX,153,Upgrade,,,FALSE,,Senior,,,,
SK0492,378,70,SK,492,2022-12-12,Atomic,Mantra Jr,124,Standard,,,FALSE,,Junior,,,,
SK0493,616,221,SK,493,2022-12-12,Volkl,Orb,136,Upgrade,,,FALSE,,Junior,,,,
